Provenance	resource	Provenance	false
Quantity	complex-type	Quantity	false
Questionnaire	resource	Questionnaire	false
QuestionnaireResponse	resource	QuestionnaireResponse	false
Range	complex-type	Range	false
Ratio	complex-type	Ratio	false
Reference	complex-type	Reference	false
RelatedArtifact	complex-type	RelatedArtifact	false
RelatedPerson	resource	RelatedPerson	false
RequestGroup	resource	RequestGroup	false
ResearchDefinition	resource	ResearchDefinition	false
ResearchElementDefinition	resource	ResearchElementDefinition	false
ResearchStudy	resource	ResearchStudy	false
ResearchSubject	resource	ResearchSubject	false
RiskAssessment	resource	RiskAssessment	false
RiskEvidenceSynthesis	resource	RiskEvidenceSynthesis	false
SampledData	complex-type	SampledData	false
Schedule	resource	Schedule	false
SearchParameter	resource	SearchParameter	false
ServiceRequest	resource	ServiceRequest	false
Signature	complex-type	Signature	false
Slot	resource	Slot	false
Specimen	resource	Specimen	false
SpecimenDefinition	resource	SpecimenDefinition	false
StructureDefinition	resource	StructureDefinition	false
StructureMap	resource	StructureMap	false
Subscription	resource	Subscription	false
Substance	resource	Substance	false
SubstanceAmount	complex-type	SubstanceAmount	false
SubstanceNucleicAcid	resource	SubstanceNucleicAcid	false
SubstancePolymer	resource	SubstancePolymer	false
SubstanceProtein	resource	SubstanceProtein	false
SubstanceReferenceInformation	resource	SubstanceReferenceInformation	false
SubstanceSourceMaterial	resource	SubstanceSourceMaterial	false
SubstanceSpecification	resource	SubstanceSpecification	false
SupplyDelivery	resource	SupplyDelivery	false
SupplyRequest	resource	SupplyRequest	false
Task	resource	Task	false
TerminologyCapabilities	resource	TerminologyCapabilities	false
TestReport	resource	TestReport	false
TestScript	resource	TestScript	false
Timing	complex-type	Timing	false
TriggerDefinition	complex-type	TriggerDefinition	false
UsageContext	complex-type	UsageContext	false
ValueSet	resource	ValueSet	false
VerificationResult	resource	VerificationResult	false
VisionPrescription	resource	VisionPrescription	false
base64Binary	primitive-type	base64Binary	false
boolean	primitive-type	boolean	false
canonical	primitive-type	canonical	false
code	primitive-type	code	false
date	primitive-type	date	false
dateTime	primitive-type	dateTime	false
decimal	primitive-type	decimal	false
id	primitive-type	id	false
instant	primitive-type	instant	false
integer	primitive-type	integer	false
markdown	primitive-type	markdown	false
oid	primitive-type	oid	false
positiveInt	primitive-type	positiveInt	false
string	primitive-type	string	false
time	primitive-type	time	false
unsignedInt	primitive-type	unsignedInt	false
uri	primitive-type	uri	false
url	primitive-type	url	false
uuid	primitive-type	uuid	false
xhtml	primitive-type	xhtml	false
