ClaimResponse	/home/jmandel/hobby/r6breaks/output/ClaimResponse.report.json	9	0	7	1
CodeSystem	/home/jmandel/hobby/r6breaks/output/CodeSystem.report.json	8	0	7	1
CompartmentDefinition	/home/jmandel/hobby/r6breaks/output/CompartmentDefinition.report.json	7	0	7	1
ConceptMap	/home/jmandel/hobby/r6breaks/output/ConceptMap.report.json	7	0	7	1
Condition	/home/jmandel/hobby/r6breaks/output/Condition.report.json	8	0	7	1
CoverageEligibilityResponse	/home/jmandel/hobby/r6breaks/output/CoverageEligibilityResponse.report.json	8	0	7	1
DetectedIssue	/home/jmandel/hobby/r6breaks/output/DetectedIssue.report.json	8	0	7	1
ElementDefinition	/home/jmandel/hobby/r6breaks/output/ElementDefinition.report.json	8	0	7	1
ExampleScenario	/home/jmandel/hobby/r6breaks/output/ExampleScenario.report.json	8	0	7	1
HealthcareService	/home/jmandel/hobby/r6breaks/output/HealthcareService.report.json	7	0	7	1
ImplementationGuide	/home/jmandel/hobby/r6breaks/output/ImplementationGuide.report.json	8	0	7	1
Invoice	/home/jmandel/hobby/r6breaks/output/Invoice.report.json	7	0	7	1
Medication	/home/jmandel/hobby/r6breaks/output/Medication.report.json	9	0	7	1
MedicinalProductInteraction	/home/jmandel/hobby/r6breaks/output/MedicinalProductInteraction.report.json	8	0	7	1
MedicinalProductUndesirableEffect	/home/jmandel/hobby/r6breaks/output/MedicinalProductUndesirableEffect.report.json	8	0	7	1
Person	/home/jmandel/hobby/r6breaks/output/Person.report.json	7	0	7	1
PlanDefinition	/home/jmandel/hobby/r6breaks/output/PlanDefinition.report.json	9	0	7	1
RequestGroup	/home/jmandel/hobby/r6breaks/output/RequestGroup.report.json	11	0	7	1
ResearchElementDefinition	/home/jmandel/hobby/r6breaks/output/ResearchElementDefinition.report.json	7	0	7	1
Specimen	/home/jmandel/hobby/r6breaks/output/Specimen.report.json	9	0	7	1
StructureDefinition	/home/jmandel/hobby/r6breaks/output/StructureDefinition.report.json	9	0	7	1
Subscription	/home/jmandel/hobby/r6breaks/output/Subscription.report.json	9	0	7	1
Account	/home/jmandel/hobby/r6breaks/output/Account.report.json	6	0	6	1
AllergyIntolerance	/home/jmandel/hobby/r6breaks/output/AllergyIntolerance.report.json	6	0	6	1
CareTeam	/home/jmandel/hobby/r6breaks/output/CareTeam.report.json	7	0	6	1
Claim	/home/jmandel/hobby/r6breaks/output/Claim.report.json	11	0	6	1
Coverage	/home/jmandel/hobby/r6breaks/output/Coverage.report.json	7	0	6	1
Endpoint	/home/jmandel/hobby/r6breaks/output/Endpoint.report.json	6	0	6	1
EpisodeOfCare	/home/jmandel/hobby/r6breaks/output/EpisodeOfCare.report.json	6	0	6	1
MedicationKnowledge	/home/jmandel/hobby/r6breaks/output/MedicationKnowledge.report.json	6	0	6	1
MedicinalProductManufactured	/home/jmandel/hobby/r6breaks/output/MedicinalProductManufactured.report.json	6	0	6	1
MessageDefinition	/home/jmandel/hobby/r6breaks/output/MessageDefinition.report.json	6	0	6	1
Organization	/home/jmandel/hobby/r6breaks/output/Organization.report.json	6	0	6	1
SpecimenDefinition	/home/jmandel/hobby/r6breaks/output/SpecimenDefinition.report.json	7	0	6	1
CommunicationRequest	/home/jmandel/hobby/r6breaks/output/CommunicationRequest.report.json	6	0	5	1
Contract	/home/jmandel/hobby/r6breaks/output/Contract.report.json	5	0	5	1
Dosage	/home/jmandel/hobby/r6breaks/output/Dosage.report.json	6	0	5	1
EffectEvidenceSynthesis	/home/jmandel/hobby/r6breaks/output/EffectEvidenceSynthesis.report.json	5	0	5	1
Evidence	/home/jmandel/hobby/r6breaks/output/Evidence.report.json	5	0	5	1
EvidenceVariable	/home/jmandel/hobby/r6breaks/output/EvidenceVariable.report.json	6	0	5	1
GuidanceResponse	/home/jmandel/hobby/r6breaks/output/GuidanceResponse.report.json	6	0	5	1
NamingSystem	/home/jmandel/hobby/r6breaks/output/NamingSystem.report.json	5	0	5	1
OrganizationAffiliation	/home/jmandel/hobby/r6breaks/output/OrganizationAffiliation.report.json	5	0	5	1
Practitioner	/home/jmandel/hobby/r6breaks/output/Practitioner.report.json	6	0	5	1
Schedule	/home/jmandel/hobby/r6breaks/output/Schedule.report.json	5	0	5	1
Substance	/home/jmandel/hobby/r6breaks/output/Substance.report.json	5	0	5	1
TriggerDefinition	/home/jmandel/hobby/r6breaks/output/TriggerDefinition.report.json	5	0	5	1
Attachment	/home/jmandel/hobby/r6breaks/output/Attachment.report.json	4	0	4	1
ChargeItemDefinition	/home/jmandel/hobby/r6breaks/output/ChargeItemDefinition.report.json	4	0	4	1
Communication	/home/jmandel/hobby/r6breaks/output/Communication.report.json	5	0	4	1
DomainResource	/home/jmandel/hobby/r6breaks/output/DomainResource.report.json	4	0	4	1
Flag	/home/jmandel/hobby/r6breaks/output/Flag.report.json	4	0	4	1
List	/home/jmandel/hobby/r6breaks/output/List.report.json	4	0	4	1
Parameters	/home/jmandel/hobby/r6breaks/output/Parameters.report.json	4	0	4	1
